1,08/01/2024,29,Quotation_TS2024_001.pdf,PO_TS2024_001.pdf,Costing_TS2024_001.xlsx,USD,25438,4070.08,29508.08,Order Placement,2,KWAL DAMAGED UPS REPAIR:SPARES & LABOR,11
2,08/01/2024,34,Quotation_TS2024_002.pdf,PO_TS2024_002.pdf,Costing_TS2024_002.xlsx,KES,80000,12800,92800,Invoiced,3,MP SHAH POWER LOGGING,11
3,09/01/2024,22,Quotation_TS2024_003.pdf,PO_TS2024_003.pdf,Costing_TS2024_003.xlsx,KES,220403,106407.86,326810.86,Paid,3,ISUZU EA QUARTERLY SERVICE(JAN-MARCH),10
4,12/01/2024,1,Quotation_TS2024_004.pdf,PO_TS2024_004.pdf,Costing_TS2024_004.xlsx,USD,6000,960,6960,Invoiced,1,ADC SMALL DISTRIBUTION BOX,3
5,16/01/2024,27,Quotation_TS2024_005.pdf,PO_TS2024_005.pdf,Costing_TS2024_005.xlsx,KES,224000,35840,259840,Invoiced,3,KENET QUARTERLY SERVICE,10
6,17/01/2024,4,Quotation_TS2024_006.pdf,PO_TS2024_006.pdf,Costing_TS2024_006.xlsx,KES,380328,12552,392880,Invoiced,3,ALMASI ELDORET BATTERY REPLACEMENT,13
7,22/01/2024,38,Quotation_TS2024_007.pdf,PO_TS2024_007.pdf,Costing_TS2024_007.xlsx,KES,251200,0,251200,Invoiced,3,EPZ BI-ANNUAL UPS MAINTENANCE,10
8,29/01/2024,26,Quotation_TS2024_008.pdf,PO_TS2024_008.pdf,Costing_TS2024_008.xlsx,KES,6629.99,1060.8,7690.79,Invoiced,4,KCB KERARAPON KAREN ATM CHECK METER REPLACEMENT,11
9,01/02/2024,20,Quotation_TS2024_009.pdf,PO_TS2024_009.pdf,Costing_TS2024_009.xlsx,KES,90000,14400,104400,Invoiced,4,GT BANK SKYPARK RENTAL UPS FOR THE MONTH OF JANUARY,11
10,08/02/2024,19,Quotation_TS2024_010.pdf,PO_TS2024_010.pdf,Costing_TS2024_010.xlsx,USD,2607.98,417.28,3025.26,Invoiced,1,"GE KUTTRRH PET 1,160KVA UPS SPARES",3
11,12/02/2024,19,Quotation_TS2024_011.pdf,PO_TS2024_011.pdf,Costing_TS2024_011.xlsx,USD,2607.98,417.28,3025.26,Invoiced,1,"GE KUTTRRH PET 2 ,160KVA UPS SPARES",3
12,12/02/2024,19,Quotation_TS2024_012.pdf,PO_TS2024_012.pdf,Costing_TS2024_012.xlsx,USD,2607.98,417.28,3025.26,Invoiced,1,GE KUTTRRH CYCLOTRON 160KVA UPS SPARES,3
13,12/02/2024,19,Quotation_TS2024_013.pdf,PO_TS2024_013.pdf,Costing_TS2024_013.xlsx,USD,5812.72,930.03,6742.75,Invoiced,1,GE KUTTRRH SPECT CT UPS,3
14,12/02/2024,19,Quotation_TS2024_014.pdf,PO_TS2024_014.pdf,Costing_TS2024_014.xlsx,USD,6293.88,1007.02,7300.9,Invoiced,1,GE KUTTRRH MRI AND CT UPS SAPARES,3
15,13/02/2024,11,Quotation_TS2024_015.pdf,PO_TS2024_015.pdf,Costing_TS2024_015.xlsx,USD,1000,0,1000,Order Placement,3,CI GROUP LP 30KVA UPS SPARE,3
16,14/02/2024,5,Quotation_TS2024_016.pdf,PO_TS2024_016.pdf,Costing_TS2024_016.xlsx,USD,5085,0,5085,Paid,3,BAKHRESA JUICE DIVISION 2PCS ABB 30KVA UPS SPARES,3
17,16/02/2024,20,Quotation_TS2024_017.pdf,PO_TS2024_017.pdf,Costing_TS2024_017.xlsx,KES,81959.48,13113.52,95073,Invoiced,4,GT BANK NANYUKI BATTERY REPLACEMENT,13
18,16/02/2024,20,Quotation_TS2024_018.pdf,PO_TS2024_018.pdf,Costing_TS2024_018.xlsx,KES,62879.31,10060.69,72940,Invoiced,4,GT BANK THIKA BATTERIES AND FANS REPLACEMENT,11
19,29/02/2024,26,Quotation_TS2024_019.pdf,PO_TS2024_019.pdf,Costing_TS2024_019.xlsx,KSH,25000,4000,29000,Order Placement,4,KCB KENCOM POWER MEASUREMENT FOR 27 RACKS,11
20,04/03/2024,20,Quotation_TS2024_020.pdf,PO_TS2024_020.pdf,Costing_TS2024_020.xlsx,KES,90000,14400,104400,Invoiced,4,GT BANK SKYPARK RENTAL UPS FOR THE MONTH OF JANUARY,11
21,07/03/2024,23,Quotation_TS2024_021.pdf,PO_TS2024_021.pdf,Costing_TS2024_021.xlsx,USD,2665,0,2665,Paid,3,JAMBO FOOD 30KVA UPS SERVICE,11
